block,street_name,lat,long,town
61,CHAI CHEE RD,1.3251087192823798,103.92073818888399,BEDOK
56,CHAI CHEE DR,1.32635040550495,103.920064202822,BEDOK
165,BEDOK STH RD,1.32030892324764,103.946089973664,BEDOK
505,BEDOK NTH AVE 3,1.33182838179326,103.93333825341499,BEDOK
417,BEDOK NTH AVE 2,1.3275755122248702,103.93048235353399,BEDOK
710,BEDOK RESERVOIR RD,1.3355737307958,103.92382002314501,BEDOK
613,BEDOK RESERVOIR RD,1.33189327383579,103.917026960083,BEDOK
602,BEDOK RESERVOIR RD,1.3293489868594899,103.911583237057,BEDOK
603,BEDOK RESERVOIR RD,1.33000183975842,103.912464022386,BEDOK
605,BEDOK RESERVOIR RD,1.33023693207316,103.913508109392,BEDOK
112,BEDOK RESERVOIR RD,1.32969408806205,103.91049021917101,BEDOK
1,CHAI CHEE RD,1.32796879176303,103.922716018139,BEDOK
722,BEDOK RESERVOIR RD,1.33663699329346,103.928207774481,BEDOK
54,NEW UPP CHANGI RD,1.32486087785589,103.942554038061,BEDOK
72,BEDOK STH AVE 3,1.32036659168881,103.94366790698601,BEDOK
31,BEDOK STH AVE 2,1.32301474306806,103.93816523677602,BEDOK
111,BEDOK NTH RD,1.3314557402818998,103.935458644142,BEDOK
120,BEDOK NTH ST 2,1.32997311186223,103.93757170239999,BEDOK
118,BEDOK NTH ST 2,1.33043385999054,103.937481669683,BEDOK
96,BEDOK NTH AVE 4,1.3332647812357,103.940334868697,BEDOK
137,BEDOK NTH AVE 3,1.3288306619399999,103.93550973127701,BEDOK
139,BEDOK NTH AVE 3,1.3294100113062801,103.93539726954799,BEDOK
716,BEDOK RESERVOIR RD,1.33783795176834,103.924973671246,BEDOK
725,BEDOK RESERVOIR RD,1.33764586553967,103.928990816937,BEDOK
22,SIN MING RD,1.3572844410823999,103.83939667995199,BISHAN
24,SIN MING RD,1.3554311095752298,103.836865670807,BISHAN
309,SHUNFU RD,1.35091296258286,103.837585157698,BISHAN
304,SHUNFU RD,1.35012170474226,103.837942388222,BISHAN
308,SHUNFU RD,1.3505825290229898,103.837846846026,BISHAN
310,SHUNFU RD,1.35085167873465,103.838679123356,BISHAN
160,BT BATOK ST 11,1.3488849043969,103.742035794953,BUKIT BATOK
161,BT BATOK ST 11,1.34846915807482,103.742050806952,BUKIT BATOK
164,BT BATOK ST 11,1.3477169747722098,103.742831711054,BUKIT BATOK
177,BT BATOK WEST AVE 8,1.34634407451481,103.741742087315,BUKIT BATOK
130,BT BATOK WEST AVE 6,1.35106126001126,103.745857351625,BUKIT BATOK
